baitID	oeID	naive	day1	day3	day5	day7	day10	day14	primed	DE	NE	dtw_trans_cl3	dtw_trans_cl4	dtw_trans_cl5	dtw_trans_cl6	dtw_trans_cl7	dtw_trans_cl8
4441	4384	0	2.31501179946118	1.13725628098663	0	0	0	0	0	1.19807522909772	1.21123351353318	2	1	5	5	4	7
4384	4473	0.926985754026046	1.47410337263578	1.48512533213649	1.54227737150995	0	2.26751419275547	2.48116704959265	2.59286950270532	2.48766617251006	0.67710277906381	3	4	3	2	2	2
4426	4473	1.91709900114399	1.60482776062936	2.28863426740273	0.878445808467265	0.896912282842997	1.57350881964027	2.04816595097682	0.855133761037847	1.56996578039421	2.49277160383439	3	3	1	3	5	5
4434	4473	1.51617602997393	2.46281595880278	0	0	1.50839799752473	0	0	0.842511757983313	0.863887644945953	0	2	1	5	4	3	7
4446	4473	1.16777419610777	1.76379454250648	1.62389594951815	0.701504295359364	0.616197624953856	1.00647226608546	1.98938270004053	2.34760113130558	1.66797844432517	1.76801256162479	3	3	1	1	5	5
4480	4509	3.39881298779513	2.81292194036696	3.01266975956035	2.78377358939285	2.8787411715554	1.92264979534019	3.14752945397268	3.02280332183909	2.95195288704843	2.89891093026157	3	3	2	3	6	5
4481	4509	2.31538812454825	2.15114617259195	3.16663758661331	1.54848288077579	1.91123772421681	2.73254626920594	2.2974853399996	1.9570894050433	2.92907476125685	1.92887442137177	3	3	2	3	6	5
4490	4509	0	1.35159583636464	0	1.41570695119661	0	0	2.53075785154427	1.535684670712	1.43564649930308	1.4609216004584	2	2	3	2	2	3
4480	4512	2.36013649797444	1.99731534669432	2.58989141391979	1.47748642778562	2.63449755209255	0.910942866926189	1.46096541810308	2.63509046358101	1.27116673736888	1.10227109686228	3	3	1	3	6	1
4481	4512	2.36714755534291	1.48284320192698	2.02995390810578	2.60804774986033	1.98072757055138	1.61306081948854	1.60795906118974	0	1.90938332031972	1.54233204040163	3	3	2	3	5	5
4681	4632	1.74222996153225	1.20179600383749	1.37527778069487	2.51401078368703	2.33060332435525	1.64937673183537	1.22023123209333	1.30950771102071	0.520787214052705	1.33686341318146	3	3	1	3	5	1
4539	4633	2.18680803799755	0	1.74745696008959	2.57270945886981	0	0.826387697095435	0	0	0.848577166288191	0.765912691801403	2	2	5	5	3	7
4679	4633	2.40386286678984	0	0	2.02789000005487	1.506103933512	0	2.69118091474428	0.887142090283584	0.798680930948775	1.86354673148075	2	1	3	2	2	2
4681	4633	1.31613187030273	1.91483511060104	2.30818782048441	1.30766599578697	1.32734132031468	1.64663635420582	2.55322186052234	2.50166239422772	2.1878703500459	2.68364456333739	3	3	2	3	5	5
4691	4633	1.80233527218465	2.28661862365052	2.26008833910029	0	0	1.83117965579508	1.85889524439417	0	0	2.50369002600004	3	1	3	4	3	2
4700	4717	0.700020872885953	0.79554721335377	1.6664734009504	1.14412612469229	2.14711934555293	0.762333566188084	0	0	0.628733438006638	3.01757255357039	1	3	1	4	3	7
4886	4837	1.93309500293299	0	1.1408429429696	1.80249861651259	0	0	2.35252595156622	1.7979345367982	0	0	1	2	3	2	2	3
4886	4844	0	1.19763641852436	0	1.7982666933785	0	0	2.34866034230101	0	0.954736022576196	0	2	1	3	2	2	3
4886	4949	1.91126325836679	1.17043729093951	2.5548599754927	0	0	0	1.17134697143955	0	0	0	1	1	3	4	3	6
5157	5127	0	2.51808832366388	0.905367217132632	0	0	0.854585060894371	0	0.930911421458172	0	0.903952916903919	2	4	5	5	4	4
5112	5144	1.31131056913129	1.38102365059932	0.591423152737125	0.753833040971808	0	2.37949262026444	0.801284354120054	1.357841048593	0	0.754295920029372	3	3	3	6	7	1
5233	5207	0	0	2.47455730210738	0.51869593254927	1.80126205265293	1.28898101425447	1.88759163462197	0.630073612868936	0	1.04561514649669	2	4	4	1	1	2
5233	5214	2.45039759949982	2.55363082985585	1.62738336618388	2.0090503019148	2.17816225914911	1.81857475197595	0.989144820158315	1.43970716160672	1.07307659735235	0.411799281309205	3	3	1	3	6	1
5122	5216	0	0	0	0	1.32306275448481	2.33822916199591	0	0	0	0	2	2	5	5	4	8
5233	5216	1.99904681921574	2.31896849186375	2.46529545677904	2.10120631344145	1.86376297078534	1.04700157778373	0.920001351742657	0	0.50939346280355	2.26714747025373	3	3	1	3	7	1
5233	5217	2.60590547802027	2.43925811611715	2.53779045275927	2.34600380730376	2.0674876283575	1.95680807562496	1.56210172475597	1.61622266002177	1.92393838148329	2.35705967743429	3	3	2	3	6	1
5233	5219	0	0	0.466495721929593	2.35507880726719	1.95440756105321	1.14506655916788	1.42430984167	0.533280288133393	0	1.3343719052303	1	4	4	1	1	1
5233	5220	2.75368387492765	2.50627497091515	2.1921808194618	2.24237270269318	2.35493911257187	1.63549290448152	2.61269129993667	0.884816420044088	0.918815710560515	3.11148190096191	3	3	2	3	6	5
